Image,Face_Index,BASE_Name,BASE_Conf,BASE_Time(ms),Gate Decision,GATE_Name,GATE_Conf,GATE_Time(ms),Conf_Gain,Time_Cost(ms)
real_blur_1773058905786.jpg,"(0, 0, 128, 128)",omer,0.9975,1242.32,normal,omer,0.9975,27.65,0.00,-1214.68
real_blur_1773059260726.jpg,"(0, 0, 128, 128)",omer,0.9998,0.00,motion_blur,omer,0.9995,33.96,-0.03,33.96
real_blur_1773059260995.jpg,"(0, 0, 128, 128)",omer,0.9999,7.54,motion_blur,omer,1.0000,8.60,0.00,1.06
real_blur_1773059261813.jpg,"(0, 0, 128, 128)",omer,1.0000,12.79,motion_blur,omer,0.9996,13.94,-0.03,1.15
real_blur_1773059262086.jpg,"(0, 1, 128, 128)",omer,0.9996,10.60,motion_blur,omer,0.9992,3.04,-0.04,-7.56
real_blur_1773059262442.jpg,"(0, 0, 128, 128)",omer,0.9997,10.75,motion_blur,omer,0.9999,19.02,0.02,8.27
real_blur_1773059263782.jpg,"(0, 0, 128, 128)",omer,0.9862,8.01,motion_blur,omer,0.9427,10.10,-4.35,2.09
real_blur_1773059264581.jpg,"(0, 0, 122, 125)",omer,0.9999,0.00,motion_blur,omer,0.9999,0.00,0.00,0.00
real_blur_1773059264581.jpg,"(12, 0, 128, 128)",omer,0.9993,29.52,motion_blur,omer,0.9993,14.66,0.00,-14.86
real_blur_1773059264847.jpg,"(4, 0, 124, 120)",omer,0.9993,10.63,motion_blur,omer,0.9993,4.92,0.00,-5.71
real_blur_1773059265291.jpg,"(0, 0, 128, 128)",omer,0.9999,11.02,motion_blur,omer,0.9999,4.58,-0.01,-6.44
real_blur_1773059265749.jpg,"(0, 0, 126, 128)",omer,0.9996,8.79,motion_blur,omer,0.9994,13.28,-0.02,4.50
real_blur_1773059266115.jpg,"(1, 3, 127, 128)",omer,0.9966,6.02,motion_blur,omer,0.9972,10.08,0.07,4.06
real_blur_1773059266381.jpg,"(2, 0, 124, 120)",omer,0.9994,10.22,motion_blur,omer,0.9994,14.19,0.00,3.97
real_blur_1773059267352.jpg,"(0, 1, 126, 127)",omer,0.9999,9.57,motion_blur,omer,0.9999,4.08,0.00,-5.49
real_blur_1773059275155.jpg,"(0, 0, 128, 128)",omer,0.9998,2.54,motion_blur,omer,0.9992,16.26,-0.06,13.72
real_blur_1773059275415.jpg,"(0, 0, 128, 128)",omer,0.9969,15.49,motion_blur,omer,0.9862,14.10,-1.07,-1.39
real_blur_1773059275583.jpg,"(0, 1, 128, 128)",omer,0.9999,1.54,motion_blur,omer,0.9996,18.55,-0.03,17.00
real_blur_1773059276401.jpg,"(0, 0, 128, 128)",omer,0.9926,14.14,motion_blur,omer,0.9871,9.77,-0.55,-4.37
real_blur_1773059277445.jpg,"(1, 2, 127, 128)",omer,0.9971,11.88,motion_blur,omer,0.9938,10.09,-0.33,-1.80
real_blur_1773059277647.jpg,"(1, 0, 128, 128)",omer,0.9999,10.05,motion_blur,omer,0.9988,10.07,-0.11,0.02
real_blur_1773059277968.jpg,"(0, 2, 125, 128)",omer,0.9996,0.00,motion_blur,omer,0.9996,17.95,0.00,17.95
real_blur_1773059278067.jpg,"(0, 0, 127, 128)",omer,1.0000,9.84,motion_blur,omer,0.9999,11.78,-0.01,1.95
real_blur_1773059278893.jpg,"(1, 0, 128, 127)",omer,1.0000,1.08,motion_blur,omer,0.9999,20.83,-0.01,19.75
real_blur_1773059279076.jpg,"(0, 0, 128, 128)",omer,0.9998,14.81,motion_blur,omer,0.9999,0.00,0.01,-14.81
real_blur_1773059279337.jpg,"(0, 1, 126, 128)",omer,0.9999,7.52,motion_blur,omer,0.9999,11.70,-0.00,4.18
real_dark_1773059093084.jpg,"(1, 2, 127, 128)",omer,0.9999,9.80,normal,omer,0.9999,20.42,0.00,10.62
real_dark_1773059147263.jpg,"(2, 3, 124, 125)",omer,1.0000,6.02,low_light,omer,0.9854,273.40,-1.46,267.37
real_dark_1773059149220.jpg,"(2, 3, 124, 125)",omer,0.9999,0.00,low_light,omer,0.9926,23.19,-0.74,23.19
real_dark_1773059159903.jpg,"(0, 0, 128, 128)",omer,1.0000,9.09,low_light,omer,0.9978,61.40,-0.22,52.31
real_dark_1773059185133.jpg,"(1, 2, 128, 128)",omer,1.0000,8.32,low_light,omer,0.9983,15.60,-0.17,7.28
real_dark_1773059193055.jpg,"(0, 0, 128, 128)",omer,1.0000,21.93,low_light,omer,0.9996,13.02,-0.04,-8.90
real_dark_1773059194082.jpg,"(0, 0, 128, 128)",omer,1.0000,15.98,low_light,omer,0.9976,0.00,-0.23,-15.98
real_dark_1773059197937.jpg,"(0, 0, 128, 128)",omer,0.9999,5.16,low_light,omer,0.9514,56.87,-4.85,51.70
real_dark_1773059199943.jpg,"(0, 0, 128, 128)",omer,0.9992,6.48,low_light,omer,0.9846,61.92,-1.46,55.44
real_dark_1773059206625.jpg,"(0, 0, 128, 128)",omer,1.0000,0.00,low_light,omer,0.9978,28.56,-0.22,28.56
real_dark_1773059212496.jpg,"(0, 0, 127, 127)",omer,0.9999,12.59,normal,omer,0.9999,3.05,0.00,-9.54
real_dark_1773059215166.jpg,"(0, 0, 128, 128)",omer,0.9998,29.86,low_light,omer,0.9974,10.10,-0.24,-19.76
real_dark_1773059222955.jpg,"(1, 1, 127, 127)",omer,0.9998,14.59,low_light,omer,0.9894,62.34,-1.04,47.75
real_dark_1773059225372.jpg,"(0, 0, 127, 128)",omer,0.9999,8.75,low_light,omer,0.9997,59.29,-0.02,50.54
real_dark_1773059228773.jpg,"(0, 0, 128, 128)",omer,1.0000,13.29,low_light,omer,0.9985,52.43,-0.15,39.14
real_norm_1773058902820.jpg,"(1, 2, 125, 126)",omer,0.9756,0.00,normal,omer,0.9756,20.42,0.00,20.42
real_norm_1773058949919.jpg,"(0, 0, 128, 128)",omer,0.9997,0.00,normal,omer,0.9997,34.53,0.00,34.53
real_norm_1773059007771.jpg,"(1, 1, 127, 127)",omer,1.0000,9.19,normal,omer,1.0000,12.51,0.00,3.32
real_norm_1773059008658.jpg,"(1, 2, 127, 128)",omer,1.0000,9.29,normal,omer,1.0000,13.13,0.00,3.84
real_norm_1773059014659.jpg,"(1, 0, 127, 125)",omer,1.0000,3.75,normal,omer,1.0000,12.56,0.00,8.81
real_norm_1773059015906.jpg,"(0, 0, 128, 128)",omer,0.9996,13.19,normal,omer,0.9996,11.03,0.00,-2.16
real_norm_1773059018595.jpg,"(0, 0, 128, 128)",omer,0.9971,9.68,normal,omer,0.9971,11.69,0.00,2.00
real_norm_1773059019770.jpg,"(0, 0, 128, 128)",omer,1.0000,9.61,normal,omer,1.0000,3.05,0.00,-6.56
real_norm_1773059031877.jpg,"(0, 1, 126, 127)",omer,0.9999,0.00,normal,omer,0.9999,0.00,0.00,0.00
real_norm_1773060333934.jpg,"(1, 2, 125, 126)",omer,0.9987,8.03,normal,omer,0.9987,5.07,0.00,-2.96
real_norm_1773060351279.jpg,"(1, 0, 127, 124)",omer,0.9115,19.67,normal,omer,0.9115,11.55,0.00,-8.12
real_norm_1773060354280.jpg,"(1, 0, 127, 124)",omer,1.0000,6.04,normal,omer,1.0000,9.43,0.00,3.38
real_norm_1773060356821.jpg,"(3, 1, 125, 123)",omer,0.9992,7.57,motion_blur,omer,0.9992,16.76,0.00,9.19
real_norm_1773060361246.jpg,"(3, 0, 125, 122)",omer,0.9974,0.00,normal,omer,0.9974,0.00,0.00,0.00
real_norm_1773060477530.jpg,"(2, 0, 126, 123)",omer,1.0000,7.60,motion_blur,omer,1.0000,12.33,0.00,4.72
real_norm_1773060488814.jpg,"(0, 1, 128, 128)",omer,0.9801,0.00,normal,omer,0.9801,30.88,0.00,30.88
real_norm_1773060490286.jpg,"(2, 2, 128, 128)",omer,0.9251,21.79,normal,omer,0.9251,0.00,0.00,-21.79
real_norm_1773060496581.jpg,"(0, 1, 127, 128)",omer,0.9997,9.82,normal,omer,0.9997,18.09,0.00,8.27
