Image,Face_Index,BASE_Name,BASE_Conf,BASE_Time(ms),Gate Decision,GATE_Name,GATE_Conf,GATE_Time(ms),Conf_Gain,Time_Cost(ms)
real_blur_1773052674638.jpg,"(4, 0, 126, 118)",yoav,0.9985,485.45,motion_blur,yoav,0.9792,27.32,-1.93,-458.12
real_blur_1773052742072.jpg,"(1, 0, 127, 126)",yoav,0.9997,18.37,motion_blur,yoav,0.9997,12.62,0.00,-5.75
real_blur_1773052743112.jpg,"(0, 0, 128, 127)",yoav,0.9983,0.00,normal,yoav,0.9983,0.00,0.00,0.00
real_blur_1773052743316.jpg,"(0, 0, 128, 128)",yoav,0.9601,7.55,motion_blur,yoav,0.9769,12.10,1.68,4.55
real_blur_1773052743529.jpg,"(1, 1, 128, 128)",yoav,0.9965,7.21,motion_blur,yoav,0.9927,16.13,-0.38,8.92
real_blur_1773052743944.jpg,"(0, 0, 128, 128)",yoav,0.9903,5.78,normal,yoav,0.9903,0.00,0.00,-5.78
real_blur_1773052744638.jpg,"(1, 0, 127, 125)",yoav,0.9963,0.00,normal,yoav,0.9963,21.88,0.00,21.88
real_blur_1773052744847.jpg,"(0, 1, 128, 128)",yoav,0.9908,9.10,normal,yoav,0.9908,0.00,0.00,-9.10
real_blur_1773052745379.jpg,"(0, 0, 128, 128)",yoav,0.9962,8.83,normal,yoav,0.9962,10.97,0.00,2.14
real_blur_1773052747108.jpg,"(0, 0, 128, 128)",yoav,0.9969,7.05,motion_blur,yoav,0.9955,10.06,-0.14,3.01
real_blur_1773052749827.jpg,"(6, 5, 128, 128)",yoav,0.8828,10.00,motion_blur,yoav,0.5313,0.00,-35.15,-10.00
real_blur_1773052750438.jpg,"(0, 0, 128, 128)",yoav,0.9795,1.53,motion_blur,yoav,0.9499,17.68,-2.96,16.15
real_blur_1773052750964.jpg,"(0, 0, 128, 128)",yoav,0.9977,8.04,motion_blur,yoav,0.9977,9.61,0.00,1.57
real_blur_1773052751194.jpg,"(2, 0, 128, 128)",yoav,0.9997,15.16,motion_blur,yoav,0.9894,13.61,-1.03,-1.55
real_blur_1773052751720.jpg,"(0, 0, 128, 128)",yoav,0.7823,9.59,motion_blur,yoav,0.7823,12.23,0.00,2.64
real_dark_1773052468643.jpg,"(0, 1, 128, 128)",yoav,0.9952,11.71,low_light,yoav,1.0000,283.44,0.48,271.73
real_dark_1773052470393.jpg,"(0, 0, 128, 128)",yoav,0.9926,8.04,low_light,yoav,0.9999,54.47,0.72,46.43
real_dark_1773052475185.jpg,"(1, 0, 127, 124)",yoav,0.9985,10.24,low_light,yoav,0.9926,72.30,-0.59,62.06
real_dark_1773052476934.jpg,"(0, 0, 126, 126)",yoav,0.9903,6.26,low_light,yoav,0.9996,54.03,0.92,47.77
real_dark_1773052506275.jpg,"(0, 0, 128, 128)",yoav,0.9975,4.02,low_light,yoav,0.9068,57.65,-9.06,53.63
real_dark_1773052526877.jpg,"(0, 0, 128, 128)",yoav,0.9998,0.00,low_light,yoav,1.0000,67.33,0.02,67.33
real_dark_1773052527653.jpg,"(0, 0, 128, 128)",yoav,0.9973,7.82,low_light,yoav,1.0000,42.14,0.27,34.33
real_dark_1773052532002.jpg,"(0, 0, 128, 128)",yoav,0.9998,10.48,low_light,yoav,1.0000,65.61,0.02,55.14
